cluster_id,num_applications,cluster_first_app,cluster_last_app
473.0,5101,2017-02-01 18:51:00,2017-06-09 21:10:42
220.0,5066,2016-11-19 00:37:19,2017-06-10 15:35:34
238.0,5062,2016-04-07 11:15:20,2017-06-10 15:35:38
237.0,4971,2016-04-07 11:14:50,2017-06-10 15:35:38
239.0,4951,2016-04-07 11:15:49,2017-06-10 15:35:38
221.0,4926,2016-04-07 11:14:44,2017-06-10 15:35:34
255.0,4896,2016-04-07 11:18:47,2017-06-10 15:35:43
347.0,4750,2017-02-01 17:17:19,2017-06-09 21:10:27
364.0,4645,2017-02-01 17:22:05,2017-06-09 21:10:29
363.0,4606,2017-02-01 17:20:54,2017-06-09 21:10:29
346.0,4580,2017-02-01 17:08:24,2017-06-09 21:10:27
365.0,4556,2017-02-01 17:22:10,2017-06-09 21:10:29
381.0,4515,2017-02-01 17:22:14,2017-06-09 21:10:31
489.0,4481,2017-02-01 18:51:23,2017-06-09 21:10:44
491.0,4476,2017-02-01 18:51:53,2017-06-09 21:10:44
490.0,4460,2017-02-01 18:51:48,2017-06-09 21:10:44
472.0,4432,2017-02-01 18:44:32,2017-06-09 21:10:42
507.0,4404,2017-02-01 18:51:58,2017-06-09 21:10:46
598.0,4383,2017-02-01 20:12:59,2017-06-09 21:10:56
616.0,4067,2017-02-01 20:08:44,2017-06-09 21:10:58
599.0,4001,2017-02-01 20:08:02,2017-06-09 21:10:56
615.0,3976,2017-02-01 20:08:23,2017-06-09 21:10:58
617.0,3969,2017-02-01 20:08:49,2017-06-09 21:10:58
633.0,3905,2017-02-01 20:08:56,2017-06-09 21:11:00
113.0,3421,2016-04-07 11:08:37,2017-07-27 21:44:36
111.0,3387,2016-04-07 11:12:23,2017-07-27 21:44:36
94.0,3165,2016-04-07 11:05:25,2017-07-27 21:44:34
129.0,3132,2016-04-07 11:08:32,2017-07-27 21:44:44
112.0,3120,2016-04-07 11:08:37,2017-07-27 21:44:36
203.0,3113,2016-04-07 11:14:41,2017-06-10 15:35:30
204.0,3103,2016-11-19 00:28:57,2017-06-10 15:35:31
205.0,3093,2016-04-07 11:14:41,2017-06-10 15:35:31
219.0,3080,2016-04-07 11:14:44,2017-06-10 15:35:34
189.0,3070,2016-11-19 00:26:47,2017-06-10 15:35:28
218.0,3049,2016-04-07 11:14:37,2017-06-10 15:35:34
455.0,3011,2017-02-01 18:31:27,2017-06-09 21:10:40
95.0,3001,2016-04-07 11:05:25,2017-07-27 21:44:34
190.0,2948,2016-04-07 11:13:41,2017-06-10 15:35:28
345.0,2938,2017-02-01 17:08:00,2017-06-09 21:10:27
331.0,2755,2017-02-01 16:56:25,2017-06-09 21:10:25
330.0,2727,2017-02-01 16:56:11,2017-06-09 21:10:25
344.0,2722,2017-02-01 17:05:19,2017-06-09 21:10:27
329.0,2714,2017-02-01 16:53:56,2017-06-09 21:10:25
