Total unique clusters: 22684
Total applications: 2776892
Average applications per cluster: 122.42

Most heavily used clusters:
  Cluster 473.0: 5101 applications
  Cluster 220.0: 5066 applications
  Cluster 238.0: 5062 applications
  Cluster 237.0: 4971 applications
  Cluster 239.0: 4951 applications
  Cluster 221.0: 4926 applications
  Cluster 255.0: 4896 applications
  Cluster 347.0: 4750 applications
  Cluster 364.0: 4645 applications
  Cluster 363.0: 4606 applications
  Cluster 346.0: 4580 applications
  Cluster 365.0: 4556 applications
  Cluster 381.0: 4515 applications
  Cluster 489.0: 4481 applications
  Cluster 491.0: 4476 applications
  Cluster 490.0: 4460 applications
  Cluster 472.0: 4432 applications
  Cluster 507.0: 4404 applications
  Cluster 598.0: 4383 applications
  Cluster 616.0: 4067 applications
  Cluster 599.0: 4001 applications
  Cluster 615.0: 3976 applications
  Cluster 617.0: 3969 applications
  Cluster 633.0: 3905 applications
  Cluster 113.0: 3421 applications
  Cluster 111.0: 3387 applications
  Cluster 94.0: 3165 applications
  Cluster 129.0: 3132 applications
  Cluster 112.0: 3120 applications
  Cluster 203.0: 3113 applications
  Cluster 204.0: 3103 applications
  Cluster 205.0: 3093 applications
  Cluster 219.0: 3080 applications
  Cluster 189.0: 3070 applications
  Cluster 218.0: 3049 applications
  Cluster 455.0: 3011 applications
  Cluster 95.0: 3001 applications
  Cluster 190.0: 2948 applications
  Cluster 345.0: 2938 applications
  Cluster 331.0: 2755 applications
  Cluster 330.0: 2727 applications
  Cluster 344.0: 2722 applications
  Cluster 329.0: 2714 applications
  Cluster 316.0: 2666 applications
  Cluster 315.0: 2635 applications
  Cluster 471.0: 2616 applications
  Cluster 582.0: 2559 applications
  Cluster 583.0: 2558 applications
  Cluster 470.0: 2555 applications
  Cluster 457.0: 2542 applications
  Cluster 581.0: 2540 applications
  Cluster 596.0: 2522 applications
  Cluster 597.0: 2521 applications
  Cluster 456.0: 2514 applications
  Cluster 567.0: 2487 applications
  Cluster 441.0: 2458 applications
  Cluster 568.0: 2457 applications
  Cluster 442.0: 2427 applications
  Cluster 0.0: 2383 applications
  Cluster 2332.0: 2260 applications
  Cluster 2135.0: 2227 applications
  Cluster 92.0: 2074 applications
  Cluster 63.0: 2064 applications
  Cluster 64.0: 2023 applications
  Cluster 79.0: 1988 applications
  Cluster 1938.0: 1986 applications
  Cluster 93.0: 1973 applications
  Cluster 1738.0: 1969 applications
  Cluster 77.0: 1968 applications
  Cluster 78.0: 1965 applications
  Cluster 291.0: 1945 applications
  Cluster 177.0: 1915 applications
  Cluster 188.0: 1900 applications
  Cluster 176.0: 1884 applications
  Cluster 175.0: 1874 applications
  Cluster 187.0: 1856 applications
  Cluster 165.0: 1856 applications
  Cluster 164.0: 1808 applications
  Cluster 2.0: 1804 applications
  Cluster 3.0: 1797 applications
  Cluster 303.0: 1746 applications
  Cluster 302.0: 1736 applications
  Cluster 301.0: 1733 applications
  Cluster 1333.0: 1718 applications
  Cluster 1537.0: 1712 applications
  Cluster 314.0: 1702 applications
  Cluster 290.0: 1694 applications
  Cluster 313.0: 1689 applications
  Cluster 153.0: 1685 applications
  Cluster 416.0: 1651 applications
  Cluster 427.0: 1614 applications
  Cluster 417.0: 1601 applications
  Cluster 36.0: 1598 applications
  Cluster 428.0: 1594 applications
  Cluster 554.0: 1585 applications
  Cluster 566.0: 1579 applications
  Cluster 18.0: 1576 applications
  Cluster 553.0: 1575 applications
  Cluster 565.0: 1574 applications
  Cluster 555.0: 1573 applications
  Cluster 324.0: 1557 applications
  Cluster 2208.0: 1528 applications
  Cluster 429.0: 1522 applications
  Cluster 543.0: 1520 applications
  Cluster 17.0: 1513 applications
  Cluster 439.0: 1513 applications
  Cluster 440.0: 1508 applications
  Cluster 542.0: 1508 applications
  Cluster 270.0: 1497 applications
  Cluster 1126.0: 1495 applications
  Cluster 11.0: 1472 applications
  Cluster 2414.0: 1450 applications
  Cluster 155.0: 1421 applications
  Cluster 7.0: 1416 applications
  Cluster 61.0: 1411 applications
  Cluster 12.0: 1407 applications
  Cluster 1.0: 1401 applications
  Cluster 2000.0: 1395 applications
  Cluster 16.0: 1385 applications
  Cluster 38.0: 1358 applications
  Cluster 62.0: 1347 applications
  Cluster 163.0: 1345 applications
  Cluster 162.0: 1345 applications
  Cluster 154.0: 1326 applications
  Cluster 396.0: 1320 applications
  Cluster 280.0: 1310 applications
  Cluster 5.0: 1305 applications
  Cluster 687.0: 1301 applications
  Cluster 3761.0: 1293 applications
  Cluster 1791.0: 1292 applications
  Cluster 51.0: 1291 applications
  Cluster 272.0: 1284 applications
  Cluster 49.0: 1282 applications
  Cluster 348.0: 1272 applications
  Cluster 114.0: 1271 applications
  Cluster 309.0: 1268 applications
  Cluster 288.0: 1260 applications
  Cluster 50.0: 1259 applications
  Cluster 281.0: 1258 applications
  Cluster 289.0: 1256 applications
  Cluster 279.0: 1251 applications
  Cluster 145.0: 1248 applications
  Cluster 75.0: 1233 applications
  Cluster 640.0: 1233 applications
  Cluster 231.0: 1228 applications
  Cluster 271.0: 1226 applications
  Cluster 54.0: 1215 applications
  Cluster 146.0: 1214 applications
  Cluster 912.0: 1207 applications
  Cluster 407.0: 1205 applications
  Cluster 415.0: 1198 applications
  Cluster 405.0: 1197 applications
  Cluster 39.0: 1195 applications
  Cluster 8.0: 1183 applications
  Cluster 406.0: 1180 applications
  Cluster 414.0: 1174 applications
  Cluster 192.0: 1174 applications
  Cluster 3371.0: 1169 applications
  Cluster 398.0: 1165 applications
  Cluster 513.0: 1164 applications
  Cluster 854.0: 1160 applications
  Cluster 397.0: 1157 applications
  Cluster 269.0: 1157 applications
  Cluster 629.0: 1143 applications
  Cluster 863.0: 1142 applications
  Cluster 1084.0: 1120 applications
  Cluster 133.0: 1116 applications
  Cluster 87.0: 1114 applications
  Cluster 1094.0: 1114 applications
  Cluster 386.0: 1110 applications
  Cluster 571.0: 1108 applications
  Cluster 532.0: 1107 applications
  Cluster 531.0: 1095 applications
  Cluster 533.0: 1089 applications
  Cluster 139.0: 1086 applications
  Cluster 4.0: 1084 applications
  Cluster 228.0: 1082 applications
  Cluster 541.0: 1081 applications
  Cluster 384.0: 1081 applications
  Cluster 138.0: 1080 applications
  Cluster 137.0: 1078 applications
  Cluster 2976.0: 1078 applications
  Cluster 132.0: 1077 applications
  Cluster 540.0: 1072 applications
  Cluster 267.0: 1052 applications
  Cluster 131.0: 1052 applications
  Cluster 37.0: 1039 applications
  Cluster 524.0: 1039 applications
  Cluster 144.0: 1036 applications
  Cluster 74.0: 1029 applications
  Cluster 265.0: 1029 applications
  Cluster 523.0: 1025 applications
  Cluster 210.0: 1024 applications
  Cluster 230.0: 1021 applications
  Cluster 72.0: 1021 applications
  Cluster 349.0: 1016 applications
  Cluster 306.0: 1006 applications
  Cluster 264.0: 1002 applications
  Cluster 130.0: 999 applications
  Cluster 258.0: 999 applications
  Cluster 426.0: 990 applications
  Cluster 28.0: 987 applications
  Cluster 29.0: 985 applications
  Cluster 263.0: 984 applications
  Cluster 395.0: 983 applications
  Cluster 308.0: 979 applications
  Cluster 385.0: 974 applications
  Cluster 207.0: 973 applications
  Cluster 389.0: 972 applications
  Cluster 335.0: 971 applications
  Cluster 20.0: 970 applications
  Cluster 259.0: 969 applications
  Cluster 143.0: 969 applications
  Cluster 387.0: 968 applications
  Cluster 27.0: 968 applications
  Cluster 1580.0: 953 applications
  Cluster 157.0: 942 applications
  Cluster 152.0: 941 applications
  Cluster 150.0: 933 applications
  Cluster 391.0: 929 applications
  Cluster 33.0: 925 applications
  Cluster 257.0: 922 applications
  Cluster 6.0: 918 applications
  Cluster 124.0: 908 applications
  Cluster 256.0: 901 applications
  Cluster 233.0: 895 applications
  Cluster 2575.0: 891 applications
  Cluster 35.0: 891 applications
  Cluster 19.0: 886 applications
  Cluster 311.0: 878 applications
  Cluster 158.0: 878 applications
  Cluster 390.0: 877 applications
  Cluster 422.0: 876 applications
  Cluster 191.0: 870 applications
  Cluster 515.0: 868 applications
  Cluster 229.0: 867 applications
  Cluster 136.0: 866 applications
  Cluster 382.0: 865 applications
  Cluster 522.0: 864 applications
  Cluster 383.0: 862 applications
  Cluster 312.0: 861 applications
  Cluster 232.0: 860 applications
  Cluster 516.0: 859 applications
  Cluster 245.0: 857 applications
  Cluster 322.0: 856 applications
  Cluster 216.0: 856 applications
  Cluster 521.0: 856 applications
  Cluster 334.0: 853 applications
  Cluster 2163.0: 852 applications
  Cluster 222.0: 851 applications
  Cluster 128.0: 851 applications
  Cluster 202.0: 850 applications
  Cluster 304.0: 850 applications
  Cluster 134.0: 847 applications
  Cluster 283.0: 841 applications
  Cluster 166.0: 840 applications
  Cluster 325.0: 840 applications
  Cluster 214.0: 840 applications
  Cluster 517.0: 840 applications
  Cluster 227.0: 839 applications
  Cluster 213.0: 839 applications
  Cluster 323.0: 838 applications
  Cluster 423.0: 836 applications
  Cluster 107.0: 835 applications
  Cluster 135.0: 834 applications
  Cluster 211.0: 832 applications
  Cluster 224.0: 832 applications
  Cluster 212.0: 832 applications
  Cluster 319.0: 831 applications
  Cluster 123.0: 830 applications
  Cluster 236.0: 829 applications
  Cluster 215.0: 828 applications
  Cluster 262.0: 827 applications
  Cluster 121.0: 826 applications
  Cluster 225.0: 826 applications
  Cluster 127.0: 826 applications
  Cluster 140.0: 825 applications
  Cluster 318.0: 825 applications
  Cluster 226.0: 824 applications
  Cluster 206.0: 824 applications
  Cluster 310.0: 822 applications
  Cluster 321.0: 822 applications
  Cluster 341.0: 821 applications
  Cluster 119.0: 821 applications
  Cluster 141.0: 820 applications
  Cluster 241.0: 819 applications
  Cluster 326.0: 819 applications
  Cluster 686.0: 819 applications
  Cluster 160.0: 818 applications
  Cluster 217.0: 818 applications
  Cluster 223.0: 818 applications
  Cluster 511.0: 817 applications
  Cluster 274.0: 816 applications
  Cluster 350.0: 815 applications
  Cluster 125.0: 814 applications
  Cluster 298.0: 814 applications
  Cluster 275.0: 813 applications
  Cluster 253.0: 812 applications
  Cluster 337.0: 812 applications
  Cluster 254.0: 810 applications
  Cluster 120.0: 810 applications
  Cluster 425.0: 810 applications
  Cluster 67.0: 810 applications
  Cluster 13.0: 809 applications
  Cluster 343.0: 807 applications
  Cluster 248.0: 807 applications
  Cluster 286.0: 807 applications
  Cluster 332.0: 807 applications
  Cluster 208.0: 807 applications
  Cluster 342.0: 807 applications
  Cluster 305.0: 807 applications
  Cluster 307.0: 807 applications
  Cluster 209.0: 806 applications
  Cluster 194.0: 806 applications
  Cluster 320.0: 806 applications
  Cluster 317.0: 805 applications
  Cluster 333.0: 805 applications
  Cluster 266.0: 805 applications
  Cluster 327.0: 804 applications
  Cluster 362.0: 803 applications
  Cluster 159.0: 801 applications
  Cluster 249.0: 800 applications
  Cluster 338.0: 800 applications
  Cluster 199.0: 800 applications
  Cluster 277.0: 799 applications
  Cluster 646.0: 798 applications
  Cluster 167.0: 798 applications
  Cluster 328.0: 797 applications
  Cluster 336.0: 797 applications
  Cluster 244.0: 797 applications
  Cluster 296.0: 796 applications
  Cluster 339.0: 796 applications
  Cluster 294.0: 795 applications
  Cluster 276.0: 794 applications
  Cluster 421.0: 794 applications
  Cluster 108.0: 793 applications
  Cluster 246.0: 792 applications
  Cluster 240.0: 791 applications
  Cluster 282.0: 790 applications
  Cluster 510.0: 789 applications
  Cluster 252.0: 789 applications
  Cluster 242.0: 789 applications
  Cluster 360.0: 788 applications
  Cluster 508.0: 788 applications
  Cluster 24.0: 788 applications
  Cluster 235.0: 787 applications
  Cluster 197.0: 787 applications
  Cluster 340.0: 786 applications
  Cluster 250.0: 786 applications
  Cluster 297.0: 786 applications
  Cluster 116.0: 785 applications
  Cluster 10.0: 785 applications
  Cluster 260.0: 784 applications
  Cluster 287.0: 783 applications
  Cluster 68.0: 783 applications
